Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
12/19/2018,381.75,385,385.25,381.5,107.24,-0.01,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/18/2018,385.5,383.75,386.5,383.25,131.88,0.004,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/17/2018,384,384.25,386,383.25,97.62,0.019,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/14/2018,376.75,378,379,374.25,0.36,0.003,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/13/2018,375.5,375,377.5,374,0.23,-0.002,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/12/2018,376.25,375.5,378,375.5,0.63,0.003,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/11/2018,375,373.75,376.5,372.75,1.37,0.002,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/10/2018,374.25,374.25,376,372.75,1.66,0.001,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/7/2018,374,371.75,374.75,371.5,2.24,0.005,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/6/2018,372,374,374.5,369.25,2.3,-0.006,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/5/2018,374.25,373.5,376,372.5,2.09,0,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/4/2018,374.25,370,374.25,369.5,2.93,0.008,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/3/2018,371.25,372.75,374,369.5,7.58,0.013,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
11/30/2018,366.5,360.75,366.75,360.5,17.99,0.017,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/29/2018,360.25,360.5,363,359,186.62,-0.001,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/28/2018,360.5,356.25,361.5,356,221.95,0.011,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
